,highway,cycleway,surface,maxspeed,weight,lanes,oneway,width,centrality,geometry,centrality_scaled,summation,index
13,0.335403726,,1.08695652,,0.000343695502505204,1.08695652,0.5900621100000001,,0.0006412722842118764,"LINESTRING (11.3895182 47.2658906, 11.3894424 47.2659687, 11.3893542 47.266016, 11.3892214 47.266039)",0.357142855,3.4565217310000005,34.56521731000001
14,1.006211178,,1.08695652,,0.0008695400413629142,0.54347826,0.29503105500000004,,0.0007695267410542516,"LINESTRING (11.3895182 47.2658906, 11.3895898 47.2657952, 11.3896319 47.2657391, 11.3900228 47.2652182, 11.3900401 47.2651951)",0.428571426,3.3602484390000003,33.60248439
15,1.006211178,,,,0.00035385027911129143,,0.29503105500000004,,0.0007695267410542516,"LINESTRING (11.3895182 47.2658906, 11.3894899 47.2659731, 11.3894972 47.266043, 11.389549 47.2661117, 11.3896265 47.2661902)",0.428571426,1.729813659,17.29813659
16,0.335403726,,1.08695652,,0.0007701898672569229,0.978260868,0.5900621100000001,,0.0006412722842118764,"LINESTRING (11.3895182 47.2658906, 11.3896124 47.2659717, 11.3901173 47.2663745)",0.357142855,3.347826079,33.47826079
17,1.173913041,,,,0.00013124083500748758,1.08695652,0.5900621100000001,,0.0005130178273695011,"LINESTRING (11.390774 47.2670518, 11.3907561 47.2671238, 11.3907216 47.2671453, 11.3907077 47.267154)",0.28571428399999993,3.136645955,31.366459550000002
18,0.335403726,,1.08695652,,0.00046712791640384887,0.978260868,0.5900621100000001,,0.0005130178273695011,"LINESTRING (11.390774 47.2670518, 11.3908661 47.2671845, 11.3909486 47.2673329, 11.3910005 47.2674584)",0.28571428399999993,3.276397508,32.76397508
19,1.006211178,,1.08695652,,0.00010325124696834941,0.54347826,0.29503105500000004,,0.0008977811978966269,"LINESTRING (11.3914922 47.2682241, 11.3914081 47.268284)",0.499999997,3.4316770100000005,34.31677010000001
20,0.335403726,,1.08695652,,0.00029247878555715295,0.54347826,0.29503105500000004,,0.0007695267410542516,"LINESTRING (11.3914922 47.2682241, 11.3916894 47.2684401)",0.428571426,2.6894409870000002,26.894409870000004
21,0.335403726,,1.08695652,,0.0007832998534459687,0.54347826,0.29503105500000004,,0.0010260356547390022,"LINESTRING (11.3914922 47.2682241, 11.3912258 47.2678923, 11.3910355 47.2676544, 11.3910036 47.2676119)",0.5714285679999999,2.8322981289999998,28.322981289999998
22,1.341614904,1.8726708060000001,1.08695652,,0.0010304186511823827,0.978260868,0.29503105500000004,,0.0008977811978966269,"LINESTRING (11.3936396 47.2670223, 11.3936873 47.2670317, 11.393805 47.2670563, 11.3943554 47.267193, 11.3944712 47.2672372, 11.3945565 47.2672808, 11.3946202 47.2673198)",0.499999997,6.074534150000001,60.74534150000001
